customer_number,company_name,address_line_1,suburb,state,sostcode
C000001,ABPAK PTY LTD,34 Hallstrom Place,Wetherill Park,NSW,2164
C000002,ACACIA PRODUCTS,6 Vicars Place,Wetherill Park,NSW,2164
C000003,AUSTRALIAN CUSTOM PIPES,24 Alfred Road,Chipping Norton,NSW,2170
C000004,ACQUOS MASTER,,,,
C000005,ACU TECH,119 Kelvin Road,Maddington,WA,6109
C000006,ADROIT PIPING,12 Loyalty Road,North Rocks,NSW,2151
C000007,ADVANCE PROFILE TECH,2/5 Hurricane Street,Banyo,QLD,4014
C000008,AEP INDUSTRIES,149 Orchard Road,Chester Hill,NSW,2162
C000009,AFS SYSTEMS ,33B Strong Avenue,Thomastown,VIC,3074
C000010,AIRTEC CENTRAL,,,,
C000011,AKDENIZ CHEMSON ADDITIVES,2 Capicure Drive,Eastern Creek,NSW,2766
C000012,ALPAK,3-11 Horning Street,Kurnell,NSW,2231
C000013,ALBA PLASTICS,16/1 Coulson Street,Erskineville,NSW,2043
C000014,ALBATECH,6 Edwards Road,Dural,NSW,2158
C000015,ALDRIDGE TRAFFIC SYSTEMS,38/38-46 South Street,Rydalmere,NSW,2116
C000016,ALL POLYMER EXTRUSION,10/19 Chifley Street,Smithfield,NSW,2164
C000017,ALLPLAS EXTRUSIONS,9 Horizon Drive,Beenleigh,QLD,4207
C000018,ALPHATRONICS,9/22 Hudson Avenue,Castle Hill,NSW,2154
C000019,AMALGAMATED DIEMOLD DME,33 Garema Circuit,Kingsgrove,NSW,2208
C000020,AMOKABEL,8 Epic Place,Villawood,NSW,2163
C000021,APAX GASKETS,213 High Street,Preston,VIC,3072
C000022,APERIO GROUP,9-19 Rooks Road,Mitcham,VIC,3132
C000023,APN COMPOUNDING,8 Vicars Place,Wetherill Park,NSW,2164
C000024,APP,206/118 Great North Road,Five Dock,NSW,2046
C000025,AQUAFIT,Old Menangle Road,Campbelltown,NSW,2560
C000026,ASTRON PLASTICS,6B Brooks Road,Ingleburn,NSW,2565
C000027,ATLAN,5.01 L5/8 Australia Avenue,Sydney Olympic Park,NSW,2127
C000028,AUSCOAT WEBBING & TAPES,42/4 Wentworth Road,Macquarie Hills,NSW,2285
C000029,AUSTRALIAN & ASIA PLASTIC BAGS,112 May Street,St Peters,NSW,2044
C000030,AUSTRALIAN FILM & PIPE,Lot 1 Douglas Road,Moss Vale,NSW,2577
C000031,AUSTRALIAN PLAST RE-PROCESS,,,,
C000032,AUSTRALIAN PLASTIC PROFILES,12 Cawarra Road,Caringbah,NSW,2229
C000033,AUSTRAPLAS,6 Maclaglan Street,Cockburn Central,WA,6164
C000034,AVA TYRES,2/19 Seton Road,Moorebank,NSW,2170
