FRONTNEW,x,y,to,x,y
legacy_r_number,289,0,to,508,67
company_name,635,0,to,1600,67
element_type,359,67,to,895,128
voltage,1026,67,to,1248,128
wattage,1351,67,to,1600,128
die_shape,427,128,to,1600,228
pictoral_diagram,172,228,to,1600,764
"""mica_cover_h,mica_cover_w,mica_cover_d""",325,764,to,635,815
mica_cover_qty,755,764,to,1026,815
"""case_inner_h,case_inner_w,case_inner_d""",1248,764,to,1600,815
"""mica_core_h,mica_core_w,mica_core_d""",325,815,to,635,868
mica_core_qty,755,815,to,1026,868
"""case_outer_h,case_outer_w,case_outer_d""",1248,815,to,1600,868
mica_loading_ohms,325,868,to,635,927
"""case_sheath_h,case_sheath_w,case_sheath_d""",1248,868,to,1600,927
mica_wire_type,325,927,to,635,991
turns_apart,895,927,to,1026,991
case_wire_grade,1248,927,to,1600,991
