FRONTOLD,x,y,,x,y
legacy_r_number,296,0,to,532,94
company_name,656,0,to,1600,94
element_type,355,94,to,959,159
voltage,1054,94,to,1258,159
wattage,1369,94,to,1600,159
die_shape,429,159,to,1600,228
pictoral_diagram,172,285,to,1600,672
"""mica_cover_h,mica_cover_w,mica_cover_d""",339,723,to,716,789
mica_cover_qty,800,723,to,1054,789
"""case_inner_h,case_inner_w,case_inner_d""",1258,723,to,1600,789
"""mica_core_h,mica_core_w,mica_core_d""",339,789,to,716,849
mica_core_qty,800,789,to,1054,849
"""case_outer_h,case_outer_w,case_outer_d""",1258,789,to,1600,849
mica_loading_ohms,339,849,to,716,907
"""case_sheath_h,case_sheath_w,case_sheath_d""",1258,849,to,1600,907
mica_wire_type,339,907,to,716,974
turns_apart,900,907,to,1054,974
case_wire_grade,1258,907,to,1600,974
