legacy_r_number,r_number,customer_name,customer_number,type_short,description_invoice,description_private,voltage,wattage,die_shape
R100,R0100,FRESH & GREEN AUSTRALIA,C000075,SCB,,,240,3000,112 x 130
R101,R0101,SEALED AIR AUSTRALIA,C000171,SCB,,,240,1300,220 x 50
R102,R0102,SEALED AIR AUSTRALIA,C000171,SCB,,,240,1200,890 x 25
R103,R0103,FRESH & GREEN AUSTRALIA,C000075,PP,,,240,1000,240 x 40
R104,R0104,TAPEX,C000182,SCB,,,240,1200,105 x 35
R105,R0105,TAPEX,C000182,SCB,,,240,350,160 x 45
R106,R0106,TAPEX,C000182,SCB,,,240,800,203 x 32
R107,R0107,TAPEX,C000182,SCB,,,240,600,76 x 50
R108,R0108,TAPEX,C000182,SCB,,,240,400,50 x 30
R109,R0109,TAPEX,C000182,SCB,,,240,250,150 x 190
R110,R0110,CINQPLAST PLASTOP,C000044,SCB,,,240,3000,100 x 50
R111,R0111,EXTRUSION TECH,C000066,SCB,,"STD HX P/ALL 9/16"" THERMO HOLE ",240,550,200 x 90
R112,R0112,MULTI PLASTIC RECYCLERS,C000120,SCB,,,240,1800,330 x 35
R113,R0113,APERIO GROUP,C000022,SCB,,,240,1300,206X42 S/L566
R114,R0114,K&D PLASTICS,C000099,SSCB,,,240,1200,600X50 S/L925
R115,R0115,APERIO GROUP,C000022,SSCB,,,240,1300,203 x 50
R116,R0116,GEM PLASTICS,C000080,SCB,,,240,1100,105 x 120
R117,R0117,KEY PLASTICS,C000100,SCB,,,240,1375,300 x 80
R118,R0118,ADVANCE PROFILE TECH,C000007,SCB,,,240,2200,150 x 100
R119,R0119,APP,C000024,SCB,,,240,1475,70 x 90
R120,R0120,FRESH & GREEN AUSTRALIA,C000075,SCB,,,240,550,300 x 100
R121,R0121,FRESH & GREEN AUSTRALIA,C000075,BCB,,,240,3000,150 x 25
R122,R0122,ALLPLAS EXTRUSIONS,C000017,SCB,,,240,375,110 x 50
R123,R0123,CLOVER PLASTICS,C000048,SCB,,,415,500,390 x 220
R124,R0124,INTEGRATED PACKAGING,C000089,PP,,8X9/16 HOLES NO P/ALL ,240,3000,235 x 190
R125,R0125,PACEMAKER COMPONENTS,C000124,SCB,,,240,3600,165 x 80
R126,R0126,PACEMAKER COMPONENTS,C000124,SCB,,,240,1450,340X80 S/L830
R127,R0127,PACEMAKER COMPONENTS,C000124,SSCB,,,240,2000,250X112 S/L220
R128,R0128,FRESH & GREEN AUSTRALIA,C000075,SPP,,,240,700,110 x 45
R129,R0129,JALCO,C000095,SCB,,,240,450,160 x 40
R130,R0130,TECHPLAS EXTRUSION  ,C000184,BCB,,,240,675,150 x 45
R131,R0131,APP,C000024,SCB,,STANDARD HEATREX PLUGALL NO HOLES,240,750,95X98X95
R132,R0132,OPALITE PLASTICS,C000122,PP,,,415,380,108 x 62
R133,R0133,OPALITE PLASTICS,C000122,SCB,,,415,480,108 x 62
R134,R0134,OPALITE PLASTICS,C000122,SCB,,,415,480,100 x 100
R135,R0135,ALLPLAS EXTRUSIONS,C000017,SCB,,,240,950,90 x 60
R136,R0136,SURETECO,C000178,BCB,,,240,550,195 x 130
